customerid,age,gender,income,occupation,location,householdsize,accounttype,accounttenureyears,avgbalance,balancevolatility,loantype,loanamount,creditscore,creditutilizationratio,delinquencycount,monthlytransactions,digitalusage,channelpreference,dormantdays,revenuecontribution,crosssellindex,salarypattern,spendcategory,cluster,segment_name,value_tier,risk_level,digital_level,engagement_status,life_stage,financial_health,product_potential,channel_type,income_category
CUST1092,64,Male,183165,Student,Delhi,5,Overdraft,1,35701.0,0.12,None,0.0,816,0.2,4,125,62,ATM,52,18908.0,4,Stable,Utilities,2,Digital Seniors,Bronze,High Risk,Digital Adopter,Highly Active,Retired,Good,Low Cross-sell,Self Service,Upper Middle
CUST1093,41,Female,190806,Student,Chennai,4,Savings,8,84300.0,0.24,None,0.0,766,0.56,0,23,28,Web,294,30336.0,3,Stable,Mixed,0,Premium Loyalists,Silver,Low Risk,Traditional,Dormant,Established Professional,Excellent,Low Cross-sell,Digital First,Upper Middle
CUST1094,43,Male,93523,Salaried,Mumbai,4,Current,1,242249.0,0.85,Auto,92578.0,644,0.73,1,179,73,ATM,320,41992.0,4,Stable,Utilities,4,Growth Seekers,Silver,Medium Risk,Digital Native,Dormant,Established Professional,Fair,Low Cross-sell,Self Service,Middle Income
CUST1095,42,Male,114476,Student,Chennai,2,FD,8,149746.0,1.01,Home,164827.0,681,0.62,3,146,65,Mobile,232,56350.0,2,Stable,Travel,0,Premium Loyalists,Gold,Medium Risk,Digital Adopter,Dormant,Established Professional,Fair,Medium Cross-sell,Digital First,Upper Middle
CUST1096,62,Female,37019,Student,Hyderabad,5,FD,8,84560.0,1.24,Auto,40390.0,552,0.19,1,124,50,Mobile,157,70561.0,1,Irregular,Mixed,4,Growth Seekers,Gold,Low Risk,Digital Adopter,At Risk,Retired,Good,Medium Cross-sell,Digital First,Lower Income
CUST1097,58,Female,103613,Self-Employed,Bangalore,3,FD,7,243615.0,0.65,Personal,285855.0,355,0.36,0,170,74,ATM,268,52955.0,3,Irregular,E-commerce,4,Growth Seekers,Gold,Low Risk,Digital Native,Dormant,Pre-Retirement,Good,Low Cross-sell,Self Service,Upper Middle
CUST1098,46,Male,106672,Student,Mumbai,1,Overdraft,16,418090.0,1.42,Auto,91658.0,762,0.78,1,185,76,Web,20,62240.0,0,Irregular,Travel,2,Digital Seniors,Gold,Medium Risk,Digital Native,Highly Active,Pre-Retirement,Good,High Cross-sell,Digital First,Upper Middle
CUST1099,32,Female,93847,Retired,Mumbai,2,FD,0,44642.0,1.73,Auto,57993.0,756,0.55,0,65,9,Branch,52,21093.0,1,Stable,Luxury,1,Standard Savers,Bronze,Low Risk,Traditional,Active,Established Professional,Excellent,Medium Cross-sell,Relationship Banking,Middle Income
CUST1100,62,Female,102750,Salaried,Hyderabad,4,Current,10,492036.0,1.58,Auto,205768.0,382,0.01,2,168,13,Web,274,7155.0,0,Irregular,Utilities,4,Growth Seekers,Bronze,Medium Risk,Traditional,Dormant,Retired,Fair,High Cross-sell,Digital First,Upper Middle
CUST1101,18,Male,48251,Self-Employed,Hyderabad,3,Overdraft,7,328304.0,0.18,Home,158285.0,398,0.76,3,172,81,Branch,312,47607.0,1,Irregular,Travel,4,Growth Seekers,Silver,Medium Risk,Digital Native,Dormant,Young Professional,Poor,Medium Cross-sell,Relationship Banking,Lower Income
CUST1102,42,Male,123481,Self-Employed,Delhi,3,Current,9,280746.0,1.01,Auto,246860.0,448,0.04,0,34,50,Mobile,280,34487.0,1,Stable,Travel,4,Growth Seekers,Silver,Low Risk,Digital Adopter,Dormant,Established Professional,Good,Medium Cross-sell,Digital First,Upper Middle
CUST1103,24,Female,132566,Retired,Bangalore,1,Savings,6,366464.0,0.3,Home,498172.0,628,0.75,1,13,72,Web,213,56668.0,4,Irregular,Mixed,3,Retirement Planners,Gold,Medium Risk,Digital Native,Dormant,Young Professional,Fair,Low Cross-sell,Digital First,Upper Middle
CUST1104,26,Male,45945,Salaried,Bangalore,4,Savings,2,89801.0,0.56,Sme,451000.0,455,0.2,3,68,38,Branch,30,21963.0,3,Stable,Mixed,1,Standard Savers,Bronze,Medium Risk,Traditional,Active,Young Professional,Fair,Low Cross-sell,Relationship Banking,Lower Income
CUST1105,41,Male,110852,Salaried,Chennai,5,Savings,2,289075.0,1.97,Personal,269565.0,489,0.96,2,165,27,ATM,336,51124.0,3,Irregular,Mixed,4,Growth Seekers,Gold,High Risk,Traditional,Dormant,Established Professional,Poor,Low Cross-sell,Self Service,Upper Middle
CUST1106,18,Female,52217,Self-Employed,Delhi,3,Savings,17,95377.0,0.37,Home,218008.0,793,0.37,3,124,2,Mobile,182,53870.0,1,Irregular,Luxury,0,Premium Loyalists,Gold,Medium Risk,Traditional,Dormant,Young Professional,Good,Medium Cross-sell,Digital First,Middle Income
CUST1107,61,Male,28308,Student,Delhi,1,Current,4,292336.0,1.05,Sme,492289.0,562,0.33,0,56,83,ATM,22,57547.0,2,Stable,Mixed,2,Digital Seniors,Gold,Low Risk,Digital Native,Active,Retired,Good,Medium Cross-sell,Self Service,Lower Income
CUST1108,25,Male,25949,Self-Employed,Delhi,5,Overdraft,11,309686.0,1.27,Home,17727.0,379,0.15,2,93,69,Mobile,31,65110.0,2,Stable,Travel,1,Standard Savers,Gold,Medium Risk,Digital Adopter,Active,Young Professional,Fair,Medium Cross-sell,Digital First,Lower Income
CUST1109,41,Female,152222,Salaried,Delhi,4,Overdraft,11,390159.0,1.43,Home,374562.0,699,0.31,1,146,26,Web,73,54554.0,0,Irregular,Mixed,2,Digital Seniors,Gold,Low Risk,Traditional,Highly Active,Established Professional,Good,High Cross-sell,Digital First,Upper Middle
CUST1110,28,Female,120235,Retired,Bangalore,3,FD,18,305664.0,1.16,Personal,4358.0,559,0.88,2,57,1,Web,9,21936.0,0,Stable,E-commerce,3,Retirement Planners,Bronze,High Risk,Traditional,Active,Young Professional,Poor,High Cross-sell,Digital First,Upper Middle
CUST1111,68,Male,94740,Self-Employed,Bangalore,5,Current,5,327916.0,0.12,None,0.0,851,1.0,2,191,92,Mobile,53,5426.0,4,Stable,Mixed,2,Digital Seniors,Bronze,High Risk,Digital Native,Highly Active,Retired,Fair,Low Cross-sell,Digital First,Middle Income
CUST1112,34,Male,136352,Salaried,Delhi,5,Savings,1,452978.0,0.72,None,0.0,400,0.37,4,82,37,Mobile,51,89839.0,1,Irregular,Luxury,1,Standard Savers,Gold,High Risk,Traditional,Active,Established Professional,Fair,Medium Cross-sell,Digital First,Upper Middle
CUST1113,25,Female,86617,Self-Employed,Chennai,5,Current,11,313250.0,1.08,Home,94018.0,658,0.45,2,45,2,Mobile,147,28606.0,0,Stable,E-commerce,1,Standard Savers,Silver,Medium Risk,Traditional,At Risk,Young Professional,Fair,High Cross-sell,Digital First,Middle Income
CUST1114,52,Female,36896,Student,Mumbai,3,FD,18,82121.0,0.27,Auto,386601.0,679,0.72,2,72,15,Web,159,48832.0,0,Stable,Travel,3,Retirement Planners,Silver,Medium Risk,Traditional,At Risk,Pre-Retirement,Fair,High Cross-sell,Digital First,Lower Income
CUST1115,52,Female,150798,Self-Employed,Mumbai,3,FD,4,26559.0,0.77,Sme,425333.0,520,0.89,3,12,93,Branch,13,29151.0,1,Stable,Travel,3,Retirement Planners,Silver,High Risk,Digital Native,Active,Pre-Retirement,Poor,Medium Cross-sell,Relationship Banking,Upper Middle
CUST1116,50,Female,197247,Self-Employed,Chennai,2,Current,11,368739.0,0.16,Auto,481916.0,719,0.59,1,6,39,ATM,177,80303.0,4,Stable,Utilities,3,Retirement Planners,Gold,Low Risk,Traditional,At Risk,Pre-Retirement,Good,Low Cross-sell,Self Service,Upper Middle
CUST1117,22,Male,158877,Salaried,Delhi,4,Current,16,34742.0,0.25,Auto,294054.0,423,0.39,3,109,1,ATM,52,12308.0,0,Stable,E-commerce,1,Standard Savers,Bronze,Medium Risk,Traditional,Highly Active,Young Professional,Fair,High Cross-sell,Self Service,Upper Middle
CUST1118,59,Female,25237,Salaried,Bangalore,1,Current,16,332813.0,0.85,Home,126888.0,721,0.41,3,129,80,Web,334,63522.0,4,Stable,Utilities,0,Premium Loyalists,Gold,Medium Risk,Digital Native,Dormant,Pre-Retirement,Good,Low Cross-sell,Digital First,Lower Income
CUST1119,56,Female,40056,Salaried,Mumbai,5,Overdraft,9,474415.0,0.35,Home,229104.0,530,0.7,0,114,40,ATM,21,46671.0,3,Stable,E-commerce,3,Retirement Planners,Silver,Medium Risk,Traditional,Highly Active,Pre-Retirement,Fair,Low Cross-sell,Self Service,Lower Income
CUST1120,58,Male,196615,Self-Employed,Hyderabad,2,Savings,16,153826.0,1.18,Home,317898.0,362,0.0,3,90,11,Mobile,29,91306.0,4,Stable,E-commerce,1,Standard Savers,Gold,Medium Risk,Traditional,Active,Pre-Retirement,Fair,Low Cross-sell,Digital First,Upper Middle
CUST1121,45,Female,134548,Student,Hyderabad,1,Current,14,136044.0,1.41,Home,193510.0,784,0.62,4,173,34,Branch,190,95108.0,2,Irregular,Luxury,0,Premium Loyalists,Gold,High Risk,Traditional,Dormant,Pre-Retirement,Fair,Medium Cross-sell,Relationship Banking,Upper Middle
CUST1122,24,Male,131488,Retired,Chennai,2,Current,11,333975.0,1.62,None,0.0,873,0.36,4,124,64,ATM,259,3204.0,2,Stable,Utilities,0,Premium Loyalists,Bronze,High Risk,Digital Adopter,Dormant,Young Professional,Good,Medium Cross-sell,Self Service,Upper Middle
CUST1123,26,Female,154415,Retired,Delhi,3,Current,15,113217.0,0.48,Home,422587.0,782,0.79,0,131,54,Branch,204,93769.0,4,Stable,Luxury,3,Retirement Planners,Gold,Medium Risk,Digital Adopter,Dormant,Young Professional,Good,Low Cross-sell,Relationship Banking,Upper Middle
CUST1124,25,Female,164572,Salaried,Mumbai,5,FD,18,42873.0,0.42,None,0.0,818,0.09,1,187,44,Mobile,58,88265.0,2,Stable,E-commerce,2,Digital Seniors,Gold,Low Risk,Digital Adopter,Highly Active,Young Professional,Excellent,Medium Cross-sell,Digital First,Upper Middle
CUST1125,29,Female,49375,Salaried,Delhi,1,FD,7,488877.0,0.3,None,0.0,454,0.59,1,20,78,ATM,263,32131.0,3,Stable,Travel,4,Growth Seekers,Silver,Low Risk,Digital Native,Dormant,Young Professional,Fair,Low Cross-sell,Self Service,Lower Income
CUST1126,51,Male,160734,Self-Employed,Mumbai,1,Overdraft,16,369676.0,1.31,Home,300611.0,391,0.48,3,66,89,Web,11,53428.0,1,Stable,E-commerce,2,Digital Seniors,Gold,Medium Risk,Digital Native,Active,Pre-Retirement,Fair,Medium Cross-sell,Digital First,Upper Middle
CUST1127,50,Male,36964,Retired,Chennai,1,Savings,4,389411.0,1.44,Personal,410841.0,825,0.64,3,117,84,Branch,118,34870.0,2,Stable,Luxury,2,Digital Seniors,Silver,Medium Risk,Digital Native,At Risk,Pre-Retirement,Fair,Medium Cross-sell,Relationship Banking,Lower Income
CUST1128,65,Female,133429,Salaried,Chennai,1,Overdraft,15,404119.0,0.16,Sme,296037.0,754,0.06,3,180,61,Mobile,289,50067.0,2,Irregular,Utilities,2,Digital Seniors,Gold,Medium Risk,Digital Adopter,Dormant,Retired,Good,Medium Cross-sell,Digital First,Upper Middle
CUST1129,40,Male,87215,Student,Hyderabad,1,Savings,5,135092.0,1.88,Auto,76329.0,897,0.58,1,162,48,Branch,337,59585.0,4,Stable,Utilities,0,Premium Loyalists,Gold,Low Risk,Digital Adopter,Dormant,Established Professional,Good,Low Cross-sell,Relationship Banking,Middle Income
CUST1130,41,Male,89042,Student,Delhi,2,FD,7,304899.0,0.2,None,0.0,809,0.56,2,16,94,ATM,247,22607.0,3,Stable,Luxury,0,Premium Loyalists,Bronze,Medium Risk,Digital Native,Dormant,Established Professional,Good,Low Cross-sell,Self Service,Middle Income
CUST1131,54,Male,164356,Salaried,Hyderabad,5,FD,17,349100.0,1.13,Sme,484518.0,482,0.56,4,39,24,ATM,353,25968.0,1,Stable,Utilities,4,Growth Seekers,Silver,High Risk,Traditional,Dormant,Pre-Retirement,Fair,Medium Cross-sell,Self Service,Upper Middle
CUST1132,52,Male,113468,Salaried,Delhi,3,FD,11,87988.0,1.45,Personal,170604.0,685,0.6,2,15,22,Web,126,99934.0,4,Stable,Mixed,3,Retirement Planners,Gold,Medium Risk,Traditional,At Risk,Pre-Retirement,Fair,Low Cross-sell,Digital First,Upper Middle
CUST1133,61,Male,29435,Retired,Hyderabad,3,Overdraft,14,46648.0,1.75,Auto,316397.0,873,0.68,2,68,23,Mobile,74,12908.0,4,Stable,Travel,3,Retirement Planners,Bronze,Medium Risk,Traditional,Active,Retired,Fair,Low Cross-sell,Digital First,Lower Income
CUST1134,57,Male,195150,Retired,Bangalore,3,Current,8,497753.0,1.46,Auto,12323.0,704,0.8,1,54,37,Mobile,360,27423.0,3,Stable,Travel,4,Growth Seekers,Silver,Medium Risk,Traditional,Dormant,Pre-Retirement,Good,Low Cross-sell,Digital First,Upper Middle
CUST1135,39,Female,98832,Self-Employed,Bangalore,3,Current,12,126991.0,1.62,None,0.0,545,0.27,2,153,27,Web,203,75707.0,1,Stable,Travel,4,Growth Seekers,Gold,Medium Risk,Traditional,Dormant,Established Professional,Fair,Medium Cross-sell,Digital First,Middle Income
CUST1136,44,Female,71293,Retired,Bangalore,2,FD,14,403732.0,0.74,Home,112356.0,890,0.83,0,73,20,Web,48,79257.0,3,Irregular,Utilities,3,Retirement Planners,Gold,High Risk,Traditional,Active,Established Professional,Good,Low Cross-sell,Digital First,Middle Income
CUST1137,52,Male,98781,Student,Bangalore,4,Current,9,378149.0,1.65,Personal,110944.0,770,0.5,3,52,53,Mobile,78,62215.0,1,Stable,Utilities,3,Retirement Planners,Gold,Medium Risk,Digital Adopter,Active,Pre-Retirement,Good,Medium Cross-sell,Digital First,Middle Income
CUST1138,18,Female,180196,Student,Mumbai,5,Current,15,3396.0,0.25,None,0.0,722,0.08,0,24,17,Branch,240,56835.0,3,Stable,E-commerce,0,Premium Loyalists,Gold,Low Risk,Traditional,Dormant,Young Professional,Excellent,Low Cross-sell,Relationship Banking,Upper Middle
CUST1139,52,Female,63919,Salaried,Bangalore,1,Overdraft,6,85082.0,1.8,Personal,407426.0,364,0.06,4,105,35,Branch,348,50429.0,4,Stable,E-commerce,4,Growth Seekers,Gold,High Risk,Traditional,Dormant,Pre-Retirement,Fair,Low Cross-sell,Relationship Banking,Middle Income
CUST1140,54,Female,186319,Retired,Chennai,4,Savings,16,413345.0,1.14,Home,278600.0,312,0.33,3,199,98,Web,153,83152.0,4,Stable,Travel,2,Digital Seniors,Gold,Medium Risk,Digital Native,At Risk,Pre-Retirement,Fair,Low Cross-sell,Digital First,Upper Middle
CUST1141,64,Female,141172,Self-Employed,Chennai,3,FD,6,129322.0,1.65,Home,31367.0,512,0.78,2,176,44,Branch,273,39458.0,0,Stable,Mixed,4,Growth Seekers,Silver,Medium Risk,Digital Adopter,Dormant,Retired,Poor,High Cross-sell,Relationship Banking,Upper Middle
CUST1142,31,Male,114758,Student,Mumbai,4,FD,13,133663.0,0.96,None,0.0,541,0.71,4,165,72,Mobile,95,47169.0,2,Stable,E-commerce,3,Retirement Planners,Silver,High Risk,Digital Native,At Risk,Established Professional,Poor,Medium Cross-sell,Digital First,Upper Middle
CUST1143,20,Female,76573,Student,Bangalore,5,Overdraft,14,12303.0,1.32,Home,403322.0,792,0.79,3,193,52,ATM,213,8659.0,3,Stable,E-commerce,0,Premium Loyalists,Bronze,Medium Risk,Digital Adopter,Dormant,Young Professional,Fair,Low Cross-sell,Self Service,Middle Income
CUST1144,18,Female,79101,Self-Employed,Bangalore,1,Overdraft,6,162633.0,1.1,Sme,234565.0,512,0.52,2,141,29,ATM,293,61614.0,0,Stable,Utilities,4,Growth Seekers,Gold,Medium Risk,Traditional,Dormant,Young Professional,Fair,High Cross-sell,Self Service,Middle Income
CUST1145,22,Male,46646,Self-Employed,Bangalore,1,Current,8,334863.0,1.49,Auto,68008.0,637,0.44,0,72,59,Branch,208,78240.0,2,Stable,Mixed,4,Growth Seekers,Gold,Low Risk,Digital Adopter,Dormant,Young Professional,Good,Medium Cross-sell,Relationship Banking,Lower Income
CUST1146,43,Male,124185,Student,Hyderabad,5,FD,18,250690.0,0.26,None,0.0,472,0.15,3,39,97,Web,342,33793.0,3,Stable,Travel,0,Premium Loyalists,Silver,Medium Risk,Digital Native,Dormant,Established Professional,Fair,Low Cross-sell,Digital First,Upper Middle
CUST1147,31,Female,43049,Student,Delhi,5,Savings,15,486324.0,0.21,Personal,377539.0,463,0.33,2,69,31,Web,87,47473.0,1,Stable,E-commerce,1,Standard Savers,Silver,Medium Risk,Traditional,Active,Established Professional,Fair,Medium Cross-sell,Digital First,Lower Income
CUST1148,56,Female,118116,Self-Employed,Hyderabad,3,Overdraft,7,260820.0,0.57,Sme,116492.0,764,0.43,0,12,66,Web,305,97762.0,2,Stable,Mixed,0,Premium Loyalists,Gold,Low Risk,Digital Adopter,Dormant,Pre-Retirement,Excellent,Medium Cross-sell,Digital First,Upper Middle
CUST1149,44,Female,117379,Student,Delhi,1,Savings,17,100616.0,0.4,None,0.0,796,0.09,4,49,66,Web,263,90388.0,4,Stable,Mixed,0,Premium Loyalists,Gold,High Risk,Digital Adopter,Dormant,Established Professional,Good,Low Cross-sell,Digital First,Upper Middle
CUST1150,26,Female,88385,Salaried,Bangalore,4,Savings,17,387309.0,1.76,Home,326459.0,694,0.22,4,91,27,Web,324,98618.0,0,Irregular,Travel,0,Premium Loyalists,Gold,High Risk,Traditional,Dormant,Young Professional,Good,High Cross-sell,Digital First,Middle Income
CUST1151,32,Female,146131,Salaried,Bangalore,2,FD,19,87231.0,0.52,Home,462465.0,607,0.6,4,179,43,Branch,319,89330.0,2,Stable,Mixed,0,Premium Loyalists,Gold,High Risk,Digital Adopter,Dormant,Established Professional,Fair,Medium Cross-sell,Relationship Banking,Upper Middle
CUST1152,32,Female,191230,Self-Employed,Hyderabad,2,FD,6,270458.0,1.95,Home,201659.0,482,0.74,4,172,78,ATM,156,56751.0,2,Irregular,Mixed,3,Retirement Planners,Gold,High Risk,Digital Native,At Risk,Established Professional,Poor,Medium Cross-sell,Self Service,Upper Middle
CUST1153,43,Male,43289,Retired,Hyderabad,5,Overdraft,2,20623.0,0.74,Home,272900.0,809,1.0,1,80,40,ATM,155,79915.0,4,Stable,Mixed,3,Retirement Planners,Gold,High Risk,Traditional,At Risk,Established Professional,Good,Low Cross-sell,Self Service,Lower Income
CUST1154,59,Female,130226,Self-Employed,Delhi,3,FD,17,199747.0,0.45,Personal,461227.0,845,0.93,3,186,62,Branch,138,55254.0,3,Stable,E-commerce,3,Retirement Planners,Gold,High Risk,Digital Adopter,At Risk,Pre-Retirement,Fair,Low Cross-sell,Relationship Banking,Upper Middle
CUST1155,30,Female,120793,Self-Employed,Chennai,2,FD,9,491042.0,1.6,Sme,298522.0,863,0.64,3,80,22,Web,120,8006.0,1,Stable,Travel,3,Retirement Planners,Bronze,Medium Risk,Traditional,At Risk,Established Professional,Fair,Medium Cross-sell,Digital First,Upper Middle
CUST1156,68,Male,29823,Retired,Delhi,1,FD,6,459298.0,1.35,Auto,135327.0,893,0.42,1,178,74,Branch,64,75218.0,4,Stable,Mixed,2,Digital Seniors,Gold,Low Risk,Digital Native,Highly Active,Retired,Good,Low Cross-sell,Relationship Banking,Lower Income
CUST1157,49,Male,61975,Retired,Hyderabad,5,Savings,16,477840.0,1.05,Personal,407700.0,526,0.64,2,51,47,ATM,106,66344.0,1,Stable,Mixed,3,Retirement Planners,Gold,Medium Risk,Digital Adopter,At Risk,Pre-Retirement,Poor,Medium Cross-sell,Self Service,Middle Income
CUST1158,56,Male,29540,Retired,Hyderabad,4,Overdraft,13,106228.0,1.16,Personal,125703.0,735,0.79,2,19,31,Mobile,146,34840.0,3,Irregular,E-commerce,3,Retirement Planners,Silver,Medium Risk,Traditional,At Risk,Pre-Retirement,Fair,Low Cross-sell,Digital First,Lower Income
CUST1159,66,Male,36364,Salaried,Mumbai,5,Current,2,427346.0,1.47,Auto,318693.0,721,0.12,4,109,56,Branch,136,33430.0,2,Stable,Travel,2,Digital Seniors,Silver,High Risk,Digital Adopter,At Risk,Retired,Good,Medium Cross-sell,Relationship Banking,Lower Income
CUST1160,69,Female,155683,Student,Hyderabad,4,Savings,11,183828.0,0.53,Auto,165575.0,853,0.41,0,151,99,Web,161,24091.0,1,Irregular,Utilities,2,Digital Seniors,Bronze,Low Risk,Digital Native,At Risk,Retired,Excellent,Medium Cross-sell,Digital First,Upper Middle
CUST1161,49,Female,47663,Salaried,Mumbai,5,FD,12,360768.0,1.99,Home,335938.0,320,0.84,2,30,32,ATM,99,33983.0,0,Stable,E-commerce,3,Retirement Planners,Silver,High Risk,Traditional,At Risk,Pre-Retirement,Poor,High Cross-sell,Self Service,Lower Income
CUST1162,21,Female,71991,Student,Chennai,5,Savings,1,158364.0,1.95,Personal,499499.0,853,0.38,0,56,23,ATM,337,24989.0,0,Irregular,Travel,4,Growth Seekers,Bronze,Low Risk,Traditional,Dormant,Young Professional,Excellent,High Cross-sell,Self Service,Middle Income
CUST1163,47,Female,124182,Salaried,Delhi,5,FD,2,374929.0,1.34,None,0.0,696,0.57,3,97,38,ATM,306,76451.0,4,Stable,Mixed,4,Growth Seekers,Gold,Medium Risk,Traditional,Dormant,Pre-Retirement,Fair,Low Cross-sell,Self Service,Upper Middle
CUST1164,54,Female,182049,Student,Delhi,4,FD,4,349350.0,0.48,Auto,307257.0,404,0.59,0,154,33,ATM,140,19990.0,3,Irregular,Travel,1,Standard Savers,Bronze,Low Risk,Traditional,At Risk,Pre-Retirement,Good,Low Cross-sell,Self Service,Upper Middle
CUST1165,40,Female,114704,Salaried,Mumbai,4,Savings,10,70274.0,1.39,Auto,498946.0,491,0.18,3,25,55,Web,82,91270.0,4,Stable,Travel,1,Standard Savers,Gold,Medium Risk,Digital Adopter,Active,Established Professional,Fair,Low Cross-sell,Digital First,Upper Middle
CUST1166,56,Male,69115,Retired,Delhi,5,Overdraft,7,134541.0,0.24,Sme,74069.0,316,0.36,1,55,27,Mobile,176,81360.0,4,Stable,Travel,1,Standard Savers,Gold,Low Risk,Traditional,At Risk,Pre-Retirement,Fair,Low Cross-sell,Digital First,Middle Income
CUST1167,62,Female,111007,Self-Employed,Hyderabad,2,FD,11,54947.0,0.16,None,0.0,419,0.33,1,42,36,ATM,197,37081.0,4,Stable,Utilities,1,Standard Savers,Silver,Low Risk,Traditional,Dormant,Retired,Fair,Low Cross-sell,Self Service,Upper Middle
CUST1168,32,Male,169143,Salaried,Bangalore,3,Overdraft,6,154606.0,0.59,None,0.0,692,0.03,4,24,6,Branch,111,12033.0,0,Irregular,Travel,1,Standard Savers,Bronze,High Risk,Traditional,At Risk,Established Professional,Good,High Cross-sell,Relationship Banking,Upper Middle
CUST1169,60,Male,31938,Student,Mumbai,3,Current,14,195692.0,0.98,Auto,251051.0,724,0.02,2,161,67,Mobile,55,17241.0,0,Stable,Utilities,2,Digital Seniors,Bronze,Medium Risk,Digital Adopter,Highly Active,Retired,Good,High Cross-sell,Digital First,Lower Income
CUST1170,46,Female,186267,Retired,Delhi,3,FD,16,49874.0,1.75,Home,412417.0,428,0.83,4,183,36,ATM,178,6939.0,4,Irregular,Mixed,3,Retirement Planners,Bronze,High Risk,Traditional,At Risk,Pre-Retirement,Poor,Low Cross-sell,Self Service,Upper Middle
CUST1171,53,Male,111680,Salaried,Mumbai,4,Overdraft,3,50708.0,1.48,Sme,125541.0,429,0.27,3,136,55,Mobile,185,48562.0,0,Stable,Utilities,4,Growth Seekers,Silver,Medium Risk,Digital Adopter,Dormant,Pre-Retirement,Fair,High Cross-sell,Digital First,Upper Middle
CUST1172,30,Female,24000,Salaried,Mumbai,4,Overdraft,12,75553.0,1.51,None,0.0,871,0.52,4,59,64,Branch,217,36063.0,3,Irregular,Mixed,0,Premium Loyalists,Silver,High Risk,Digital Adopter,Dormant,Established Professional,Good,Low Cross-sell,Relationship Banking,Lower Income
CUST1173,49,Male,121042,Retired,Bangalore,2,Current,17,69344.0,0.91,Auto,256353.0,859,0.3,0,96,64,ATM,315,77721.0,4,Irregular,Mixed,0,Premium Loyalists,Gold,Low Risk,Digital Adopter,Dormant,Pre-Retirement,Excellent,Low Cross-sell,Self Service,Upper Middle
CUST1174,24,Female,113610,Salaried,Hyderabad,3,Overdraft,0,312282.0,0.76,None,0.0,328,0.94,3,32,46,Branch,216,28045.0,0,Irregular,Utilities,1,Standard Savers,Silver,High Risk,Digital Adopter,Dormant,Young Professional,Poor,High Cross-sell,Relationship Banking,Upper Middle
CUST1175,68,Male,123691,Self-Employed,Mumbai,3,Overdraft,15,186374.0,0.8,Sme,315507.0,396,0.26,1,8,19,Web,119,45769.0,1,Stable,E-commerce,1,Standard Savers,Silver,Low Risk,Traditional,At Risk,Retired,Good,Medium Cross-sell,Digital First,Upper Middle
CUST1176,39,Female,58304,Salaried,Delhi,5,Current,12,48638.0,1.98,Sme,359687.0,309,0.43,2,154,18,ATM,174,48118.0,4,Stable,Luxury,4,Growth Seekers,Silver,Medium Risk,Traditional,At Risk,Established Professional,Fair,Low Cross-sell,Self Service,Middle Income
CUST1177,45,Female,89449,Self-Employed,Chennai,4,FD,9,79249.0,0.18,Personal,131733.0,541,0.87,3,80,28,ATM,22,85703.0,4,Irregular,Travel,3,Retirement Planners,Gold,High Risk,Traditional,Active,Pre-Retirement,Poor,Low Cross-sell,Self Service,Middle Income
CUST1178,19,Female,102986,Self-Employed,Mumbai,3,Overdraft,11,369009.0,1.75,Auto,175915.0,531,0.84,3,177,73,ATM,212,22625.0,3,Stable,Luxury,3,Retirement Planners,Bronze,High Risk,Digital Native,Dormant,Young Professional,Poor,Low Cross-sell,Self Service,Upper Middle
CUST1179,59,Female,171836,Retired,Mumbai,2,Overdraft,1,3719.0,1.2,Sme,95673.0,583,0.19,0,71,59,ATM,234,28076.0,2,Stable,Travel,4,Growth Seekers,Silver,Low Risk,Digital Adopter,Dormant,Pre-Retirement,Good,Medium Cross-sell,Self Service,Upper Middle
CUST1180,62,Female,128940,Salaried,Bangalore,2,Overdraft,2,154962.0,0.93,Personal,454179.0,499,0.8,2,90,17,Web,12,65805.0,2,Stable,Travel,3,Retirement Planners,Gold,Medium Risk,Traditional,Active,Retired,Poor,Medium Cross-sell,Digital First,Upper Middle
CUST1181,23,Male,58494,Retired,Hyderabad,3,Savings,9,471452.0,1.48,Personal,42828.0,378,0.46,1,198,91,ATM,100,45605.0,3,Irregular,Mixed,2,Digital Seniors,Silver,Low Risk,Digital Native,At Risk,Young Professional,Fair,Low Cross-sell,Self Service,Middle Income
CUST1182,45,Male,23373,Salaried,Chennai,4,Current,1,430725.0,1.02,None,0.0,472,0.48,3,166,34,Mobile,23,85565.0,3,Stable,Travel,1,Standard Savers,Gold,Medium Risk,Traditional,Highly Active,Pre-Retirement,Fair,Low Cross-sell,Digital First,Lower Income
CUST1183,45,Male,163233,Salaried,Delhi,2,Savings,12,43534.0,1.76,None,0.0,766,0.13,3,95,42,ATM,363,89509.0,3,Stable,Travel,0,Premium Loyalists,Gold,Medium Risk,Digital Adopter,Dormant,Pre-Retirement,Good,Low Cross-sell,Self Service,Upper Middle
CUST1184,61,Female,117532,Student,Chennai,5,Current,12,496518.0,1.81,Personal,331054.0,880,0.08,0,187,94,Web,10,40121.0,2,Irregular,Utilities,2,Digital Seniors,Silver,Low Risk,Digital Native,Highly Active,Retired,Excellent,Medium Cross-sell,Digital First,Upper Middle
CUST1185,61,Male,112658,Salaried,Delhi,2,FD,17,93241.0,0.9,None,0.0,715,0.73,4,109,90,ATM,272,66101.0,3,Stable,Luxury,0,Premium Loyalists,Gold,High Risk,Digital Native,Dormant,Retired,Fair,Low Cross-sell,Self Service,Upper Middle
